wait_time,generation_time,queue_length,clip_self_similarity
0.0,32.75993490219116,0,111.21503448486328
0.010991096496582031,2.7293179035186768,1,101.71052551269531
2.7823479175567627,2.804504871368408,2,98.92369079589844
2.870386838912964,2.7040090560913086,3,108.27449798583984
5.615567922592163,2.6900370121002197,4,107.737548828125
5.518641233444214,2.7664999961853027,5,106.89270782470703
8.324028968811035,2.767791986465454,6,96.38093566894531
8.39973521232605,2.706515073776245,7,111.51797485351562
11.143401861190796,2.7217609882354736,7,102.33415985107422
11.183932781219482,2.721165657043457,6,108.69868469238281
13.945550680160522,2.7087652683258057,6,93.47303771972656
